0,Charbonnier, Olivier,1978-9-7,Lyon,France,Basebook,Charbonnier Olivier@hotmail.com, OlivierCharbonnier0
20,Guivarch,Clement,1965-7-13,Lyon,France,Basebook,GuivarchClement@hotmail.com,ClementGuivarch20
21,Karembeu,Eliaquim,1989-6-17,Paris,France,Basebook,KarembeuEliaquim@hotmail.com,EliaquimKarembeu21
22,Lizarazu,Rio,1991-3-2,Monaco,France,Basebook,LizarazuRio@hotmail.com,RioLizarazu22
23,Thuram,Rio,1953-8-28,Lille,France,Weeder,ThuramRio@hotmail.com,RioThuram23
24,Desailly,Clement,1992-9-25,Bordeaux,France,Weegram,DesaillyClement@hotmail.com,ClementDesailly24
25,Candela,Franck,1981-4-19,Rennes,France,Basebook,CandelaFranck@hotmail.com,FranckCandela25
26,Guivarch, Olivier,1959-5-4,Strasbourg,France,Weeder,Guivarch Olivier@hotmail.com, OlivierGuivarch26
27,Desailly,Mathieu,1988-11-11,Rennes,France,Basebook,DesaillyMathieu@hotmail.com,MathieuDesailly27
28,Deschamps,Mathieu,1975-8-16,Bordeaux,France,Weegram,DeschampsMathieu@hotmail.com,MathieuDeschamps28
29,Karembeu,Patrice,1980-12-5,Monaco,France,Weegram,KarembeuPatrice@hotmail.com,PatriceKarembeu29
30,Diomede,Ait,1986-12-3,Marseille,France,Weegram,DiomedeAit@hotmail.com,AitDiomede30
31,Petit,Blaise,1973-7-23,Paris,France,Weegram,PetitBlaise@hotmail.com,BlaisePetit31
32,Trezeguet,Franck,1984-6-10,Lyon,France,Weeder,TrezeguetFranck@hotmail.com,FranckTrezeguet32
33,Henry,Bacary,1966-9-1,Paris,France,Basebook,HenryBacary@hotmail.com,BacaryHenry33
34,Dugarry,Eliaquim,1985-10-19,Strasbourg,France,Basebook,DugarryEliaquim@hotmail.com,EliaquimDugarry34
35,Djorkeff,Mathieu,1955-1-27,Bordeaux,France,Basebook,DjorkeffMathieu@hotmail.com,MathieuDjorkeff35
36,Thuram,Willy,1961-11-17,Marseille,France,Basebook,ThuramWilly@hotmail.com,WillyThuram36
37,Dugarry,Loïc,1956-4-21,Lille,France,Basebook,DugarryLoïc@hotmail.com,LoïcDugarry37
38,Leboeuf,Mathieu,1991-3-15,Marseille,France,Weeder,LeboeufMathieu@hotmail.com,MathieuLeboeuf38
39,Boghossian,Lucas,1976-10-22,Paris,France,Weeder,BoghossianLucas@hotmail.com,LucasBoghossian39
40,Leboeuf,Rio,1991-10-3,Rennes,France,Basebook,LeboeufRio@hotmail.com,RioLeboeuf40
41,Deschamps,Mathieu,1955-2-5,Rennes,France,Basebook,DeschampsMathieu@hotmail.com,MathieuDeschamps41
42,Djorkeff, Olivier,1975-4-6,Bordeaux,France,Basebook,Djorkeff Olivier@hotmail.com, OlivierDjorkeff42
43,Dugarry,Moussa,1962-2-18,Paris,France,Weeder,DugarryMoussa@hotmail.com,MoussaDugarry43
44,Vieira,Moussa,1959-3-16,Monaco,France,Basebook,VieiraMoussa@hotmail.com,MoussaVieira44
45,Candela,Blaise,1965-5-21,Lyon,France,Basebook,CandelaBlaise@hotmail.com,BlaiseCandela45
46,Vieira,Mathieu,1971-7-24,Marseille,France,Weeder,VieiraMathieu@hotmail.com,MathieuVieira46
47,Trezeguet,Bacary,1986-9-5,Marseille,France,Basebook,TrezeguetBacary@hotmail.com,BacaryTrezeguet47
48,Boghossian,Patrice,1986-7-21,Monaco,France,Basebook,BoghossianPatrice@hotmail.com,PatriceBoghossian48
49,Thuram,Ait,1962-4-11,Mareille,France,Weegram,ThuramAit@hotmail.com,AitThuram49
50,Candela,Willy,1960-1-3,Rennes,France,Weegram,CandelaWilly@hotmail.com,WillyCandela50
51,Vieira,Blaise,1955-2-30,Monaco,France,Weeder,VieiraBlaise@hotmail.com,BlaiseVieira51
52,Zidane,Lucas,1973-5-10,Monaco,France,Basebook,ZidaneLucas@hotmail.com,LucasZidane52
53,Djorkeff,Mathieu,1968-4-12,Marseille,France,Basebook,DjorkeffMathieu@hotmail.com,MathieuDjorkeff53
54,Djorkeff,Moussa,1977-5-22,Lille,France,Basebook,DjorkeffMoussa@hotmail.com,MoussaDjorkeff54
55,Djorkeff,Mamadou,1984-8-29,Rennes,France,Basebook,DjorkeffMamadou@hotmail.com,MamadouDjorkeff55
56,Deschamps,Blaise,1964-12-1,Monaco,France,Weegram,DeschampsBlaise@hotmail.com,BlaiseDeschamps56
57,Leboeuf,Mathieu,1962-5-2,Bordeaux,France,Basebook,LeboeufMathieu@hotmail.com,MathieuLeboeuf57
58,Leboeuf,Lucas,1968-2-1,Strasbourg,France,Basebook,LeboeufLucas@hotmail.com,LucasLeboeuf58
59,Lizarazu,Rio,1973-5-13,Monaco,France,Weegram,LizarazuRio@hotmail.com,RioLizarazu59
60,Blanc,Raphael,1988-7-12,Lyon,France,Basebook,BlancRaphael@hotmail.com,RaphaelBlanc60
61,Lizarazu,Lucas,1977-10-18,Strasbourg,France,Weegram,LizarazuLucas@hotmail.com,LucasLizarazu61
62,Guivarch,Laurent,1971-11-18,Strasbourg,France,Basebook,GuivarchLaurent@hotmail.com,LaurentGuivarch62
63,Pires,Laurent,1960-9-3,Paris,France,Basebook,PiresLaurent@hotmail.com,LaurentPires63
64,Petit,Clement,1992-9-21,Rennes,France,Weeder,PetitClement@hotmail.com,ClementPetit64
65,Henry,Mathieu,1986-3-16,Bordeaux,France,Basebook,HenryMathieu@hotmail.com,MathieuHenry65
66,Vieira,Mathieu,1990-8-19,Monaco,France,Weeder,VieiraMathieu@hotmail.com,MathieuVieira66
67,Lama, Olivier,1982-5-21,Monaco,France,Basebook,Lama Olivier@hotmail.com, OlivierLama67
68,Karembeu,Laurent,1974-7-10,Metz,France,Weeder,KarembeuLaurent@hotmail.com,LaurentKarembeu68
69,Blanc,Clement,1975-8-6,Marseille,France,Basebook,BlancClement@hotmail.com,ClementBlanc69
70,Boghossian, Samir,1973-1-2,Monaco,France,Weeder,Boghossian Samir@hotmail.com, SamirBoghossian70
71,Dugarry,Mathieu,1965-1-10,Monaco,France,Weeder,DugarryMathieu@hotmail.com,MathieuDugarry71
72,Zidane,Karim,1990-8-27,Strasbourg,France,Basebook,ZidaneKarim@hotmail.com,KarimZidane72
73,Guivarch,Rio,1991-12-15,Bordeaux,France,Weeder,GuivarchRio@hotmail.com,RioGuivarch73
74,Deschamps,Lucas,1983-7-7,Rennes,France,Basebook,DeschampsLucas@hotmail.com,LucasDeschamps74
